Index,Title,Full Address,Neighborhood,District,Latitude,Longitude,Street,Bedrooms,Bathrooms,Parking,Floor Area,Land Area,Price
67,LOT 25 STATION VIEW - COMPLETION DUE APRIL 2023,"14 Inder Street, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.073593,168.744346,14 Inder Street,2.0,2.0,2.0,113.2,200.0,992000.0
68,Postcard Perfect Position,"180 Kent Street, Kingston, Queenstown-Lakes",Kingston,Queenstown-Lakes,-45.332189,16.871478,180 Kent Street,3.0,1.0,1.0,110.2,809.0,999000.0
69,Longing for the Lodges,"8/8 Brunswick Street, Town Centre, Queenstown-Lakes",Town Centre,Queenstown-Lakes,-45.034044,168.654058,8/8 Brunswick Street,3.0,2.0,0.0,92.2,0.0,none
70,A cosy cottage awaits,"9 McDonnell Road, Arrowtown, Queenstown-Lakes",Arrowtown,Queenstown-Lakes,-44.943166,16.882894,9 McDonnell Road,3.0,2.0,1.0,110.2,576.0,none
71,Nest or invest in Bridesdale,"6 Longlands Street, Lake Hayes, Queenstown-Lakes",Lake Hayes,Queenstown-Lakes,-45.000079,168.797835,6 Longlands Street,3.0,2.0,1.0,127.2,329.0,1030000.0
72,Welcome to Paradise...,"20 Islay Street, Glenorchy, Queenstown-Lakes",Glenorchy,Queenstown-Lakes,-44.851034,16.838422,20 Islay Street,3.0,1.0,6.0,100.2,805.0,1100000.0
73,Solid investment opportunity,"20 Islay Street, Glenorchy, Queenstown-Lakes",Glenorchy,Queenstown-Lakes,-44.851034,16.838422,20 Islay Street,3.0,1.0,2.0,100.2,805.0,1100000.0
74,The perfect family home!,"5 Cheviot Street, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.064462,168.743674,5 Cheviot Street,4.0,2.0,1.0,188.2,400.0,none
75,Prime Arrowtown investment,"33 Berkshire Street, Arrowtown, Queenstown-Lakes",Arrowtown,Queenstown-Lakes,-44.941495,168.828488,33 Berkshire Street,5.0,2.0,6.0,140.2,678.0,none
76,Entry level investment opportunity!,"1-1A George Drive, Lower Shotover, Queenstown-Lakes",Lower Shotover,Queenstown-Lakes,-45.005718,168.780186,1-1A George Drive,4.0,2.0,1.0,153.2,450.0,none
77,The perfect starter!,"9 Lincoln Road, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.068173,168.743448,9 Lincoln Road,3.0,2.0,1.0,143.2,350.0,none
78,Let The Numbers Do The Talking,"2 Johnson Place, Queenstown East, Queenstown-Lakes",Queenstown East,Queenstown-Lakes,-45.021516,168.661569,2 Johnson Place,5.0,2.0,1.0,0.0,502.0,1123000.0
79,"Location, potential & charm","12 Stewart Street, Frankton, Queenstown-Lakes",Frankton,Queenstown-Lakes,-4.501642,168.726117,12 Stewart Street,2.0,1.0,2.0,70.2,450.0,1150000.0
80,Entry level home and income,"3 Hicks Road, Lower Shotover, Queenstown-Lakes",Lower Shotover,Queenstown-Lakes,-45.004989,168.767435,3 Hicks Road,5.0,2.0,3.0,208.2,663.0,none
81,Prime investment opportunity!,"64 Muster Road, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.067589,168.749044,64 Muster Road,4.0,3.0,1.0,171.2,400.0,none
82,Buy one or buy both!,"5 Glenelg Lane, Jacks Point, Queenstown-Lakes",Jacks Point,Queenstown-Lakes,-45.078088,168.749038,5 Glenelg Lane,3.0,2.0,2.0,172.2,443.0,none
